(243.9223,-31.1581,130.0000,-7.2794,0.0000,0.0000,1,1.0000),
(182.7741,-216.6221,130.0000,-49.8441,0.0000,0.0000,1,1.0000),
(182.7741,-216.6221,106.0000,-49.8441,0.0000,0.0000,1,1.0000),
(182.7741,-216.6221,106.0000,-49.8441,0.0000,0.0000,1,1.0000),
(182.7741,-216.6221,130.0000,-49.8441,0.0000,0.0000,1,1.0000),
(243.9223,-31.1581,130.0000,-7.2794,0.0000,0.0000,1,1.0000),
(-4.0000,198.2113,125.0000,90.7147,0.0000,0.0000,1,1.0000),
(-4.0000,216.2137,125.0000,90.5294,0.0000,0.0000,1,1.0000),
(-4.0000,265.8454,125.0000,90.5294,0.0000,0.0000,1,1.0000),
(-4.0000,265.8454,125.0000,90.5294,0.0000,0.0000,0,1.0000),
(-4.0000,265.8454,135.0000,90.5294,0.0000,0.0000,0,1.0000),
(-4.0000,216.2137,135.0000,90.5294,0.0000,0.0000,0,1.0000),
(-4.0000,198.2113,105.0000,90.7147,0.0000,0.0000,0,1.0000)
