(243.9223,-31.1581,130.0000,-7.2794,0.0000,0.0000,1,1.0000),
(185.0000,-219.2628,130.0000,-49.5794,0.0000,0.0000,1,1.0000),
(185.0000,-219.2628,105.0000,-49.5794,0.0000,0.0000,1,1.0000),
(185.0000,-219.2628,106.0000,-49.5794,0.0000,0.0000,1,1.0000),
(185.0000,-219.2628,130.0000,-49.5794,0.0000,0.0000,1,1.0000),
(243.9223,-31.1581,130.0000,-7.2794,0.0000,0.0000,1,1.0000),
(148.4251,168.0421,132.4263,48.5471,0.0000,0.0000,1,1.0000),
(128.5163,168.5904,30.0000,59.3735,0.0000,0.0000,1,1.0000),
(128.5163,168.5904,20.0000,59.3735,0.0000,0.0000,1,1.0000),
(128.5163,168.5904,20.0000,59.3735,0.0000,0.0000,0,1.0000),
(128.5163,168.5904,30.0000,59.3735,0.0000,0.0000,0,1.0000),
(148.4251,168.0421,132.4263,48.5471,0.0000,0.0000,0,1.0000),
(243.9223,-31.1581,130.0000,-7.2794,0.0000,0.0000,0,1.0000)
